Name,Age (that year),Nationality,Position,Market Value,Season,League,Team
Koki Anzai,"May 31, 1995 (26)",Japan,Left-Back,€700k,2020,Portuguese First Division,Portimonense
Jafar Salmani,"Jan 12, 1997 (24)",Iran,Left-Back,€325k,2020,Portuguese First Division,Portimonense
Henrique Gelain,"Jan 5, 1995 (26)",Brazil,Left-Back,€200k,2020,Portuguese First Division,Portimonense
Guilherme Lazaroni,"Nov 18, 1992 (28)",Brazil,Left-Back,€100k,2020,Portuguese First Division,Portimonense
Fahd Moufi,"May 5, 1996 (25)","Morocco""",Right-Back,€900k,2020,Portuguese First Division,Portimonense
Giannelli Imbula,"Sep 12, 1992 (28)",DR Congo,Defensive Midfield,€800k,2020,Portuguese First Division,Portimonense
Pedro Sá,"Dec 1, 1993 (27)",Portugal,Defensive Midfield,€500k,2020,Portuguese First Division,Portimonense
Rômulo,"Jan 10, 1996 (25)",Brazil,Defensive Midfield,€200k,2020,Portuguese First Division,Portimonense
Ewerton,"Dec 1, 1992 (28)",Brazil,Central Midfield,€1.00m,2020,Portuguese First Division,Portimonense
Denis Will Poha,"May 28, 1997 (24)","France""",Central Midfield,€500k,2020,Portuguese First Division,Portimonense
Reko Silva,"Jun 21, 1999 (22)",Portugal,Central Midfield,€325k,2020,Portuguese First Division,Portimonense
Fernando Medeiros,"Feb 10, 1996 (25)",Brazil,Central Midfield,€250k,2020,Portuguese First Division,Portimonense
Lucas Fernandes,"Sep 20, 1997 (23)",Brazil,Attacking Midfield,€2.00m,2020,Portuguese First Division,Portimonense
Dener,"Mar 13, 1992 (29)",Brazil,Attacking Midfield,€1.00m,2020,Portuguese First Division,Portimonense
Luquinha,"Oct 3, 2000 (20)",Brazil,Attacking Midfield,€1.00m,2020,Portuguese First Division,Portimonense
Seung-woo Lee,"Jan 6, 1998 (23)","Korea, South",Attacking Midfield,€500k,2020,Portuguese First Division,Portimonense
Fabrício,"Mar 28, 1990 (31)",Brazil,Left Winger,€700k,2020,Portuguese First Division,Portimonense
Anderson Oliveira,"Jul 16, 1998 (22)",Brazil,Left Winger,€700k,2020,Portuguese First Division,Portimonense
Júlio César,"Aug 12, 1994 (26)","Brazil""",Left Winger,€300k,2020,Portuguese First Division,Portimonense
Aylton Boa Morte,"Sep 23, 1993 (27)","Portugal""",Right Winger,€1.00m,2020,Portuguese First Division,Portimonense
Welinton Junior,"Jun 8, 1993 (28)",Brazil,Right Winger,€750k,2020,Portuguese First Division,Portimonense
Safawi Rasid,"Mar 5, 1997 (24)",Malaysia,Right Winger,€300k,2020,Portuguese First Division,Portimonense
Ricardo Vaz Tê,"Oct 1, 1986 (34)","Portugal""",Right Winger,€100k,2020,Portuguese First Division,Portimonense
Beto,"Jan 31, 1998 (23)","Portugal""",Centre-Forward,€5.00m,2020,Portuguese First Division,Portimonense
Bruno Moreira,"Sep 6, 1987 (33)",Portugal,Centre-Forward,€200k,2020,Portuguese First Division,Portimonense
Amir Abedzadeh,"Apr 26, 1993 (28)","Iran""",Goalkeeper,€1.50m,2020,Portuguese First Division,Marítimo
Charles,"Feb 4, 1994 (27)",Brazil,Goalkeeper,€400k,2020,Portuguese First Division,Marítimo
Caio Secco,"Dec 22, 1990 (30)","Brazil""",Goalkeeper,€200k,2020,Portuguese First Division,Marítimo
Léo Andrade,"Apr 18, 1998 (23)",Brazil,Centre-Back,€800k,2020,Portuguese First Division,Marítimo
Zainadine,"Jun 24, 1988 (33)",Mozambique,Centre-Back,€500k,2020,Portuguese First Division,Marítimo
Andreas Karo,"Sep 9, 1996 (24)",Cyprus,Centre-Back,€500k,2020,Portuguese First Division,Marítimo
Lucas Áfrico,"Feb 5, 1995 (26)",Brazil,Centre-Back,€400k,2020,Portuguese First Division,Marítimo
Dejan Kerkez,"Jan 20, 1996 (25)",Serbia,Centre-Back,€250k,2020,Portuguese First Division,Marítimo
Aloísio Neto,"Aug 16, 1997 (23)",Brazil,Centre-Back,-,2020,Portuguese First Division,Marítimo
Moisés Mosquera,"May 24, 2001 (20)",Colombia,Centre-Back,-,2020,Portuguese First Division,Marítimo
Marcelo Hermes,"Feb 1, 1995 (26)",Brazil,Left-Back,€600k,2020,Portuguese First Division,Marítimo
China,"Jul 7, 1992 (28)",Portugal,Left-Back,€400k,2020,Portuguese First Division,Marítimo
Nanu,"May 17, 1994 (27)","Guinea-Bissau""",Right-Back,€3.00m,2020,Portuguese First Division,Marítimo
Cláudio Winck,"Apr 15, 1994 (27)",Brazil,Right-Back,€800k,2020,Portuguese First Division,Marítimo
Tim Waker,"Jan 4, 1994 (27)",Sweden,Right-Back,€300k,2020,Portuguese First Division,Marítimo
Gonçalo Duarte,"Jul 11, 1997 (23)",Portugal,Right-Back,€100k,2020,Portuguese First Division,Marítimo
René Santos,"Apr 21, 1992 (29)",Brazil,Defensive Midfield,€700k,2020,Portuguese First Division,Marítimo
Franck Bambock,"Apr 7, 1995 (26)","France""",Defensive Midfield,€600k,2020,Portuguese First Division,Marítimo
Jean,"Sep 26, 1994 (26)",Brazil,Defensive Midfield,€500k,2020,Portuguese First Division,Marítimo
Diego Moreno,"Feb 27, 1996 (25)",Colombia,Defensive Midfield,€200k,2020,Portuguese First Division,Marítimo
Pedro Pelágio,"Apr 21, 2000 (21)",Portugal,Central Midfield,€1.00m,2020,Portuguese First Division,Marítimo
Jean Cleber,"Apr 29, 1990 (31)",Brazil,Central Midfield,€200k,2020,Portuguese First Division,Marítimo
André Teles,"Apr 6, 1997 (24)",Portugal,Central Midfield,-,2020,Portuguese First Division,Marítimo
Stefano Beltrame,"Feb 8, 1993 (28)",Italy,Attacking Midfield,€200k,2020,Portuguese First Division,Marítimo
Jorge Correa,"Apr 4, 1993 (28)",Argentina,Left Winger,€700k,2020,Portuguese First Division,Marítimo
Milson,"Oct 12, 1999 (21)","Angola""",Left Winger,€300k,2020,Portuguese First Division,Marítimo
Rúben Macedo,"Mar 9, 1996 (25)","Portugal""",Left Winger,€300k,2020,Portuguese First Division,Marítimo
Marcelinho,"Jul 17, 1996 (24)",Brazil,Left Winger,€200k,2020,Portuguese First Division,Marítimo
Faiq Bolkiah,"May 9, 1998 (23)",Brunei Darussalam,Left Winger,€200k,2020,Portuguese First Division,Marítimo
Johnson Owusu,"Feb 5, 1998 (23)",Ghana,Left Winger,-,2020,Portuguese First Division,Marítimo
Rafik Guitane,"May 26, 1999 (22)","France""",Right Winger,€2.50m,2020,Portuguese First Division,Marítimo
Francois-Xavier Fumu Tamuzo,"Apr 3, 1995 (26)","France""",Right Winger,€300k,2020,Portuguese First Division,Marítimo
Edgar Costa,"Apr 14, 1987 (34)",Portugal,Right Winger,€200k,2020,Portuguese First Division,Marítimo
Rodrigo Pinho,"May 30, 1991 (30)","Brazil""",Centre-Forward,€2.50m,2020,Portuguese First Division,Marítimo
Joel Tagueu,"Dec 6, 1993 (27)","Cameroon""",Centre-Forward,€1.00m,2020,Portuguese First Division,Marítimo
Sassá,"Jan 11, 1994 (27)",Brazil,Centre-Forward,€700k,2020,Portuguese First Division,Marítimo
Ali Alipour,"Nov 11, 1995 (25)",Iran,Centre-Forward,€700k,2020,Portuguese First Division,Marítimo
Getterson Alves,"May 16, 1991 (30)",Brazil,Centre-Forward,€400k,2020,Portuguese First Division,Marítimo
Kibe,"Mar 13, 2000 (21)",Brazil,Centre-Forward,€300k,2020,Portuguese First Division,Marítimo
Marcelo Marques,"Aug 31, 1998 (22)",Portugal,Centre-Forward,-,2020,Portuguese First Division,Marítimo
Pawel Kieszek,"Apr 16, 1984 (37)",Poland,Goalkeeper,€200k,2020,Portuguese First Division,Rio Ave
Léo Vieira,"Sep 22, 1990 (30)",Brazil,Goalkeeper,€100k,2020,Portuguese First Division,Rio Ave
Magrão,"May 15, 2000 (21)",Brazil,Goalkeeper,-,2020,Portuguese First Division,Rio Ave
Toni Borevkovic,"Jun 18, 1997 (24)",Croatia,Centre-Back,€3.00m,2020,Portuguese First Division,Rio Ave
Aderllan Santos,"Apr 9, 1989 (32)","Brazil""",Centre-Back,€1.50m,2020,Portuguese First Division,Rio Ave
Nélson Monte,"Jul 20, 1995 (25)",Portugal,Centre-Back,€700k,2020,Portuguese First Division,Rio Ave
Nando Pijnaker,"Feb 25, 1999 (22)",New Zealand,Centre-Back,€200k,2020,Portuguese First Division,Rio Ave
Matheus Reis,"Feb 18, 1995 (26)",Brazil,Left-Back,€2.50m,2020,Portuguese First Division,Rio Ave
Pedro Amaral,"Aug 25, 1997 (23)",Portugal,Left-Back,€800k,2020,Portuguese First Division,Rio Ave
Fábio Coentrão,"Mar 11, 1988 (33)",Portugal,Left-Back,€400k,2020,Portuguese First Division,Rio Ave
Sávio,"May 26, 1995 (26)",Brazil,Left-Back,€400k,2020,Portuguese First Division,Rio Ave
Ivo Pinto,"Jan 7, 1990 (31)",Portugal,Right-Back,€1.00m,2020,Portuguese First Division,Rio Ave
Costinha,"Mar 26, 2000 (21)",Portugal,Right-Back,€300k,2020,Portuguese First Division,Rio Ave
Junio,"Feb 27, 1997 (24)",Brazil,Right-Back,€200k,2020,Portuguese First Division,Rio Ave
Pelé,"Sep 29, 1991 (29)","Guinea-Bissau""",Defensive Midfield,€2.00m,2020,Portuguese First Division,Rio Ave
Filipe Augusto,"Aug 12, 1993 (27)",Brazil,Defensive Midfield,€1.50m,2020,Portuguese First Division,Rio Ave
Nikola Jambor,"Sep 25, 1995 (25)",Croatia,Defensive Midfield,€400k,2020,Portuguese First Division,Rio Ave
Guga,"Jul 18, 1997 (23)",Portugal,Central Midfield,€700k,2020,Portuguese First Division,Rio Ave
Rúben Gonçalves,"Dec 23, 1998 (22)",Portugal,Central Midfield,€175k,2020,Portuguese First Division,Rio Ave
Tarantini,"Oct 7, 1983 (37)",Portugal,Central Midfield,€100k,2020,Portuguese First Division,Rio Ave
Diogo Teixeira,"Jan 20, 1999 (22)","Portugal""",Central Midfield,-,2020,Portuguese First Division,Rio Ave
Gabrielzinho,"Mar 29, 1996 (25)",Brazil,Left Midfield,€400k,2020,Portuguese First Division,Rio Ave
Lucas Piazón,"Jan 20, 1994 (27)","Brazil""",Attacking Midfield,€4.00m,2020,Portuguese First Division,Rio Ave
Diego Lopes,"May 3, 1994 (27)",Brazil,Attacking Midfield,€1.70m,2020,Portuguese First Division,Rio Ave
Chico Geraldes,"Apr 18, 1995 (26)",Portugal,Attacking Midfield,€900k,2020,Portuguese First Division,Rio Ave
Carlos Mané,"Mar 11, 1994 (27)","Guinea-Bissau""",Left Winger,€1.50m,2020,Portuguese First Division,Rio Ave
Ryotaro Meshino,"Jun 18, 1998 (23)",Japan,Left Winger,€450k,2020,Portuguese First Division,Rio Ave
Anderson Cruz,"Apr 9, 1996 (25)","Angola""",Left Winger,€300k,2020,Portuguese First Division,Rio Ave
Rafael Camacho,"May 22, 2000 (21)","Portugal""",Right Winger,€3.50m,2020,Portuguese First Division,Rio Ave
Leandro Silva,"Jan 16, 1999 (22)",Brazil,Right Winger,-,2020,Portuguese First Division,Rio Ave
Gelson Dala,"Jul 13, 1996 (24)",Angola,Centre-Forward,€1.50m,2020,Portuguese First Division,Rio Ave
André Pereira,"May 5, 1995 (26)",Portugal,Centre-Forward,€1.00m,2020,Portuguese First Division,Rio Ave
Ronan,"Apr 22, 1995 (26)",Brazil,Centre-Forward,€500k,2020,Portuguese First Division,Rio Ave
Junior Brandão,"Jan 7, 1995 (26)",Brazil,Centre-Forward,€400k,2020,Portuguese First Division,Rio Ave
Bruno Moreira,"Sep 6, 1987 (33)",Portugal,Centre-Forward,€200k,2020,Portuguese First Division,Rio Ave
Said Ahmed Said,"Apr 20, 1993 (28)","Italy""",Centre-Forward,€200k,2020,Portuguese First Division,Rio Ave
Manuel Namora,"Feb 12, 1998 (23)",Portugal,Centre-Forward,€150k,2020,Portuguese First Division,Rio Ave
Beto,"May 1, 1982 (39)",Portugal,Goalkeeper,€200k,2020,Portuguese First Division,Farense
Hugo Marques,"Jan 15, 1986 (35)","Angola""",Goalkeeper,€100k,2020,Portuguese First Division,Farense
Rafael Defendi,"Dec 22, 1983 (37)","Brazil""",Goalkeeper,€100k,2020,Portuguese First Division,Farense
Ricardo Velho,"Aug 20, 1998 (22)",Portugal,Goalkeeper,€100k,2020,Portuguese First Division,Farense
André Pinto,"Oct 5, 1989 (31)",Portugal,Centre-Back,€700k,2020,Portuguese First Division,Farense
César Martins,"Dec 28, 1992 (28)",Brazil,Centre-Back,€600k,2020,Portuguese First Division,Farense
Edu Mancha,"Nov 24, 1995 (25)",Brazil,Centre-Back,€450k,2020,Portuguese First Division,Farense
Cássio Scheid,"Jan 3, 1994 (27)",Brazil,Centre-Back,€350k,2020,Portuguese First Division,Farense
Ricardo Ferreira,"Nov 25, 1992 (28)","Canada""",Centre-Back,€300k,2020,Portuguese First Division,Farense
Fábio Nunes,"Jul 24, 1992 (28)",Portugal,Left-Back,€400k,2020,Portuguese First Division,Farense
Felipe Abner,"May 30, 1996 (25)","Brazil""",Left-Back,€300k,2020,Portuguese First Division,Farense
Tomás Tavares,"Mar 7, 2001 (20)","Portugal""",Right-Back,€5.50m,2020,Portuguese First Division,Farense
Alex Pinto,"Jul 8, 1998 (22)",Portugal,Right-Back,€650k,2020,Portuguese First Division,Farense
Miguel Bandarra,"Jan 17, 1996 (25)",Portugal,Right-Back,€200k,2020,Portuguese First Division,Farense
Amine,"Nov 4, 1992 (28)","Morocco""",Defensive Midfield,€1.00m,2020,Portuguese First Division,Farense
Claudio Falcão,"Jul 3, 1994 (26)","Brazil""",Defensive Midfield,€500k,2020,Portuguese First Division,Farense
Filipe Melo,"Nov 3, 1989 (31)",Portugal,Defensive Midfield,€200k,2020,Portuguese First Division,Farense
Bura Nogueira,"Dec 22, 1995 (25)",Guinea-Bissau,Defensive Midfield,€200k,2020,Portuguese First Division,Farense
Jonatan Lucca,"Jun 2, 1994 (27)","Brazil""",Central Midfield,€700k,2020,Portuguese First Division,Farense
Fabrício Isidoro,"Jan 28, 1992 (29)",Brazil,Central Midfield,€400k,2020,Portuguese First Division,Farense
Ryan Gauld,"Dec 16, 1995 (25)",Scotland,Attacking Midfield,€5.00m,2020,Portuguese First Division,Farense
Brian Mansilla,"Apr 16, 1997 (24)",Argentina,Left Winger,€500k,2020,Portuguese First Division,Farense
Maddi,"Oct 21, 1998 (22)","Guinea-Bissau""",Left Winger,€450k,2020,Portuguese First Division,Farense
Bilel Aouacheria,"Apr 2, 1994 (27)","France""",Left Winger,€350k,2020,Portuguese First Division,Farense
Licá,"Sep 8, 1988 (32)",Portugal,Left Winger,€300k,2020,Portuguese First Division,Farense
Alvarinho,"Sep 3, 1990 (30)",Portugal,Left Winger,€150k,2020,Portuguese First Division,Farense
Hugo Seco,"Jun 17, 1988 (33)",Portugal,Right Winger,€200k,2020,Portuguese First Division,Farense
Djalma,"May 30, 1987 (34)","Angola""",Right Winger,€100k,2020,Portuguese First Division,Farense
Nikola Stojiljkovic,"Aug 17, 1992 (28)",Serbia,Centre-Forward,€600k,2020,Portuguese First Division,Farense
Pedro Henrique,"Nov 8, 1996 (24)",Brazil,Centre-Forward,€350k,2020,Portuguese First Division,Farense
Patrick,"Dec 13, 1993 (27)",Cape Verde,Centre-Forward,€250k,2020,Portuguese First Division,Farense
Riccardo Piscitelli,"Oct 10, 1993 (27)",Italy,Goalkeeper,€300k,2020,Portuguese First Division,Nacional
Daniel Guimarães,"Apr 18, 1987 (34)",Brazil,Goalkeeper,€200k,2020,Portuguese First Division,Nacional
Seydou Sy,"Dec 12, 1995 (25)",Senegal,Goalkeeper,€200k,2020,Portuguese First Division,Nacional
Rui Encarnação,"Apr 5, 1998 (23)",Portugal,Goalkeeper,€100k,2020,Portuguese First Division,Nacional
António Filipe,"Apr 14, 1985 (36)",Portugal,Goalkeeper,€100k,2020,Portuguese First Division,Nacional
Pedrão,"May 3, 1997 (24)",Brazil,Centre-Back,€700k,2020,Portuguese First Division,Nacional
Júlio César,"Mar 21, 1995 (26)",Brazil,Centre-Back,€300k,2020,Portuguese First Division,Nacional
Rui Correia,"Aug 23, 1990 (30)",Portugal,Centre-Back,€200k,2020,Portuguese First Division,Nacional
João Vigário,"Nov 20, 1995 (25)",Portugal,Left-Back,€400k,2020,Portuguese First Division,Nacional
Kalindi,"Aug 29, 1993 (28)",Brazil,Right-Back,€400k,2020,Portuguese First Division,Nacional
Rúben Freitas,"Jan 2, 1993 (28)",Portugal,Right-Back,€400k,2020,Portuguese First Division,Nacional
Francisco Ramos,"Apr 10, 1995 (26)",Portugal,Defensive Midfield,€700k,2020,Portuguese First Division,Nacional
Lucas Kal,"Mar 16, 1996 (25)","Brazil""",Defensive Midfield,€500k,2020,Portuguese First Division,Nacional
Vladan Danilovic,"Jul 27, 1999 (21)",Bosnia-Herzegovina,Defensive Midfield,€500k,2020,Portuguese First Division,Nacional
Ibrahim Alhassan,"Nov 3, 1996 (24)",Nigeria,Defensive Midfield,€300k,2020,Portuguese First Division,Nacional
Nuno Borges,"Mar 31, 1988 (33)",Cape Verde,Defensive Midfield,€200k,2020,Portuguese First Division,Nacional
Mabrouk Rouaï,"Nov 1, 2000 (20)","France""",Defensive Midfield,€150k,2020,Portuguese First Division,Nacional
Vincent Koziello,"Oct 28, 1995 (25)","France""",Central Midfield,€700k,2020,Portuguese First Division,Nacional
Larry Azouni,"Mar 23, 1994 (27)","Tunisia""",Central Midfield,€550k,2020,Portuguese First Division,Nacional
Rúben Micael,"Aug 19, 1986 (34)",Portugal,Central Midfield,€100k,2020,Portuguese First Division,Nacional
Vincent Thill,"Feb 4, 2000 (21)",Luxembourg,Attacking Midfield,€1.00m,2020,Portuguese First Division,Nacional
Éber Bessa,"Mar 21, 1992 (29)",Brazil,Attacking Midfield,€350k,2020,Portuguese First Division,Nacional
João Camacho,"Jun 23, 1994 (27)",Portugal,Left Winger,€700k,2020,Portuguese First Division,Nacional
Kenji Gorré,"Sep 29, 1994 (26)","Curacao""",Left Winger,€500k,2020,Portuguese First Division,Nacional
Witi,"Aug 26, 1996 (24)",Mozambique,Left Winger,€400k,2020,Portuguese First Division,Nacional
João Victor,"Feb 25, 1999 (22)",Brazil,Left Winger,€300k,2020,Portuguese First Division,Nacional
Marco Matias,"May 10, 1989 (32)",Portugal,Left Winger,€200k,2020,Portuguese First Division,Nacional
Brayan Riascos,"Oct 10, 1994 (26)",Colombia,Centre-Forward,€1.00m,2020,Portuguese First Division,Nacional
Bryan Róchez,"Jan 1, 1995 (26)",Honduras,Centre-Forward,€600k,2020,Portuguese First Division,Nacional
Pedro Mendes,"Aug 1, 1999 (21)",Portugal,Centre-Forward,€500k,2020,Portuguese First Division,Nacional
Gergely Bobál,"Aug 31, 1995 (25)",Hungary,Centre-Forward,€200k,2020,Portuguese First Division,Nacional
Dudu Teodora,"Aug 10, 1999 (21)",Brazil,Centre-Forward,€200k,2020,Portuguese First Division,Nacional
Diogo Costa,"Sep 19, 1999 (22)","Portugal""",Goalkeeper,€25.00m,2021,Portuguese First Division,Porto
Agustín Marchesín,"Mar 16, 1988 (34)","Argentina""",Goalkeeper,€4.00m,2021,Portuguese First Division,Porto
Cláudio Ramos,"Nov 16, 1991 (30)",Portugal,Goalkeeper,€1.50m,2021,Portuguese First Division,Porto
Francisco Meixedo,"May 19, 2001 (21)",Portugal,Goalkeeper,€450k,2021,Portuguese First Division,Porto
Chancel Mbemba,"Aug 8, 1994 (27)",DR Congo,Centre-Back,€17.00m,2021,Portuguese First Division,Porto
Rúben Semedo,"Apr 4, 1994 (28)","Portugal""",Centre-Back,€5.00m,2021,Portuguese First Division,Porto
Fábio Cardoso,"Apr 19, 1994 (28)",Portugal,Centre-Back,€3.00m,2021,Portuguese First Division,Porto
Pepe,"Feb 26, 1983 (39)","Portugal""",Centre-Back,€1.00m,2021,Portuguese First Division,Porto
João Marcelo,"Jun 13, 2000 (22)",Brazil,Centre-Back,€550k,2021,Portuguese First Division,Porto
Iván Marcano,"Jun 23, 1987 (35)",Spain,Centre-Back,€500k,2021,Portuguese First Division,Porto
Romain Correia,"Sep 6, 1999 (22)","Portugal""",Centre-Back,€500k,2021,Portuguese First Division,Porto
Zé Pedro,"Jun 6, 1997 (25)",Portugal,Centre-Back,€350k,2021,Portuguese First Division,Porto
Zaidu,"Jun 13, 1997 (25)",Nigeria,Left-Back,€10.00m,2021,Portuguese First Division,Porto
Wendell,"Jul 20, 1993 (28)",Brazil,Left-Back,€5.00m,2021,Portuguese First Division,Porto
João Mendes,"Apr 13, 2000 (22)",Portugal,Left-Back,€675k,2021,Portuguese First Division,Porto
João Mário,"Jan 3, 2000 (22)",Portugal,Right-Back,€15.00m,2021,Portuguese First Division,Porto
Wilson Manafá,"Jul 23, 1994 (27)","Portugal""",Right-Back,€5.00m,2021,Portuguese First Division,Porto
Nanu,"May 17, 1994 (28)","Guinea-Bissau""",Right-Back,€2.00m,2021,Portuguese First Division,Porto
Mateus Uribe,"Mar 21, 1991 (31)",Colombia,Defensive Midfield,€16.00m,2021,Portuguese First Division,Porto
Marko Grujić,"Apr 13, 1996 (26)",Serbia,Defensive Midfield,€12.00m,2021,Portuguese First Division,Porto
Mor Ndiaye,"Nov 22, 2000 (21)","Senegal""",Defensive Midfield,€850k,2021,Portuguese First Division,Porto
Vitinha,"Feb 13, 2000 (22)",Portugal,Central Midfield,€30.00m,2021,Portuguese First Division,Porto
Sérgio Oliveira,"Jun 2, 1992 (30)",Portugal,Central Midfield,€12.00m,2021,Portuguese First Division,Porto
Stephen Eustaquio,"Dec 21, 1996 (25)","Canada""",Central Midfield,€5.00m,2021,Portuguese First Division,Porto
Bruno Costa,"Apr 19, 1997 (25)",Portugal,Central Midfield,€2.50m,2021,Portuguese First Division,Porto
Bernardo Folha,"Mar 23, 2002 (20)",Portugal,Central Midfield,€750k,2021,Portuguese First Division,Porto
Otávio,"Feb 9, 1995 (27)","Portugal""",Attacking Midfield,€30.00m,2021,Portuguese First Division,Porto
Fábio Vieira,"May 30, 2000 (22)",Portugal,Attacking Midfield,€25.00m,2021,Portuguese First Division,Porto
Vasco Sousa,"Apr 3, 2003 (19)",Portugal,Attacking Midfield,€650k,2021,Portuguese First Division,Porto
Luis Díaz,"Jan 13, 1997 (25)",Colombia,Left Winger,€65.00m,2021,Portuguese First Division,Porto
Pepê,"Feb 24, 1997 (25)","Brazil""",Left Winger,€18.00m,2021,Portuguese First Division,Porto
Galeno,"Oct 22, 1997 (24)","Brazil""",Left Winger,€12.00m,2021,Portuguese First Division,Porto
Fernando Andrade,"Jan 8, 1993 (29)","Brazil""",Left Winger,€1.00m,2021,Portuguese First Division,Porto
Jesús Corona,"Jan 6, 1993 (29)","Mexico""",Right Winger,€18.00m,2021,Portuguese First Division,Porto
Francisco Conceição,"Dec 14, 2002 (19)",Portugal,Right Winger,€8.00m,2021,Portuguese First Division,Porto
Gonçalo Borges,"Mar 29, 2001 (21)",Portugal,Right Winger,€1.30m,2021,Portuguese First Division,Porto
Evanilson,"Oct 6, 1999 (22)",Brazil,Centre-Forward,€22.00m,2021,Portuguese First Division,Porto
Mehdi Taremi,"Jul 18, 1992 (29)",Iran,Centre-Forward,€20.00m,2021,Portuguese First Division,Porto
Toni Martínez,"Jun 30, 1997 (25)",Spain,Centre-Forward,€5.00m,2021,Portuguese First Division,Porto
Danny Namaso,"Aug 28, 2000 (21)","England""",Centre-Forward,€2.00m,2021,Portuguese First Division,Porto
Luís Maximiano,"Jan 5, 1999 (23)",Portugal,Goalkeeper,€12.00m,2021,Portuguese First Division,Sporting CP
Antonio Adán,"May 13, 1987 (35)",Spain,Goalkeeper,€2.50m,2021,Portuguese First Division,Sporting CP
João Virgínia,"Oct 10, 1999 (22)",Portugal,Goalkeeper,€1.00m,2021,Portuguese First Division,Sporting CP
Renan Ribeiro,"Mar 23, 1990 (32)",Brazil,Goalkeeper,€500k,2021,Portuguese First Division,Sporting CP
André Paulo,"Dec 18, 1996 (25)",Portugal,Goalkeeper,€100k,2021,Portuguese First Division,Sporting CP
Diego Callai,"Jul 18, 2004 (17)","Brazil""",Goalkeeper,-,2021,Portuguese First Division,Sporting CP
Gonçalo Inácio,"Aug 25, 2001 (20)",Portugal,Centre-Back,€23.00m,2021,Portuguese First Division,Sporting CP
Sebastián Coates,"Oct 7, 1990 (31)","Uruguay""",Centre-Back,€8.00m,2021,Portuguese First Division,Sporting CP
Zouhair Feddal,"Dec 23, 1989 (32)","Morocco""",Centre-Back,€2.50m,2021,Portuguese First Division,Sporting CP
Luís Neto,"May 26, 1988 (34)",Portugal,Centre-Back,€1.50m,2021,Portuguese First Division,Sporting CP
José Marsà,"Mar 4, 2002 (20)",Spain,Centre-Back,€200k,2021,Portuguese First Division,Sporting CP
João Goulart,"Jan 27, 2000 (22)",Portugal,Centre-Back,€125k,2021,Portuguese First Division,Sporting CP
Nuno Mendes,"Jun 19, 2002 (20)",Portugal,Left-Back,€40.00m,2021,Portuguese First Division,Sporting CP
Matheus Reis,"Feb 18, 1995 (27)",Brazil,Left-Back,€8.00m,2021,Portuguese First Division,Sporting CP
Nuno Santos,"Feb 13, 1995 (27)",Portugal,Left-Back,€8.00m,2021,Portuguese First Division,Sporting CP
Rúben Vinagre,"Apr 9, 1999 (23)",Portugal,Left-Back,€5.00m,2021,Portuguese First Division,Sporting CP
Nazinho,"Jul 20, 2003 (18)","Portugal""",Left-Back,€500k,2021,Portuguese First Division,Sporting CP
Pedro Porro,"Sep 13, 1999 (22)",Spain,Right-Back,€25.00m,2021,Portuguese First Division,Sporting CP
Ricardo Esgaio,"May 16, 1993 (29)",Portugal,Right-Back,€5.00m,2021,Portuguese First Division,Sporting CP
Gonçalo Esteves,"Feb 27, 2004 (18)",Portugal,Right-Back,€3.00m,2021,Portuguese First Division,Sporting CP
João Palhinha,"Jul 9, 1995 (26)",Portugal,Defensive Midfield,€25.00m,2021,Portuguese First Division,Sporting CP
Manuel Ugarte,"Apr 11, 2001 (21)",Uruguay,Defensive Midfield,€15.00m,2021,Portuguese First Division,Sporting CP
Dário Essugo,"Mar 14, 2005 (17)","Portugal""",Defensive Midfield,€1.00m,2021,Portuguese First Division,Sporting CP
Renato Veiga,"Jul 29, 2003 (18)",Portugal,Defensive Midfield,-,2021,Portuguese First Division,Sporting CP
Matheus Nunes,"Aug 27, 1998 (23)","Portugal""",Central Midfield,€35.00m,2021,Portuguese First Division,Sporting CP
Daniel Bragança,"May 27, 1999 (23)",Portugal,Central Midfield,€7.00m,2021,Portuguese First Division,Sporting CP
Jovane,"Jun 14, 1998 (24)",Cape Verde,Left Winger,€5.50m,2021,Portuguese First Division,Sporting CP
Tiago Ferreira,"Mar 18, 2002 (20)","Portugal""",Left Winger,-,2021,Portuguese First Division,Sporting CP
Pedro Gonçalves,"Jun 28, 1998 (24)",Portugal,Right Winger,€30.00m,2021,Portuguese First Division,Sporting CP
Pablo Sarabia,"May 11, 1992 (30)",Spain,Right Winger,€25.00m,2021,Portuguese First Division,Sporting CP
Marcus Edwards,"Dec 3, 1998 (23)","England""",Right Winger,€15.00m,2021,Portuguese First Division,Sporting CP
Gonzalo Plata,"Nov 1, 2000 (21)",Ecuador,Right Winger,€6.00m,2021,Portuguese First Division,Sporting CP
Bruno Tabata,"Mar 30, 1997 (25)",Brazil,Right Winger,€4.00m,2021,Portuguese First Division,Sporting CP
Geny Catamo,"Jan 26, 2001 (21)",Mozambique,Right Winger,€800k,2021,Portuguese First Division,Sporting CP
Paulinho,"Nov 9, 1992 (29)",Portugal,Centre-Forward,€13.00m,2021,Portuguese First Division,Sporting CP
Tiago Tomás,"Jun 16, 2002 (20)",Portugal,Centre-Forward,€7.00m,2021,Portuguese First Division,Sporting CP
Islam Slimani,"Jun 18, 1988 (34)",Algeria,Centre-Forward,€1.50m,2021,Portuguese First Division,Sporting CP
